defect, c1, c2, c3, e1, e2, e3, e4, e5, e6, e7
"In_Cu", -1, 1, 0, , -1.01, 0.24, 1.86, , , ,
"In_DX", -1, 1, 0, , , , 1.61, , , ,
"V_Cu", -1, 0, 0, , , , , 1.19, , ,
"Cu_In", 1, -1, 0, , , , 2.08, 2.22, 2.84, ,
"V_In", 0, -1, 0, , , , 3.85, 3.88, 4.3, 4.99,
"V_Se", 0, 0, -1, , 2.39, , 2.45, 3.43, 4.78, 5.66,
"Cu_i", 1, 0, 0, , , 0.17, 1.68, , , ,
"In_i", 0, 1, 0, 0.60, 0.95, 1.43, 2.84, , , ,
"Se_i", 0, 0, 1, , 2.48, 2.67, 2.87, 3.51, 4.87, ,
"In_Cu-2V_Cu", -3, 1, 0, , , , 1.07, , , ,
"V_Se-V_Cu", -1, 0, -1, , , 2.9, , 3.47, 4.33, 5.66,
